role,skills
Data Analyst,"Python Data Analysis Excel SQL"
Machine Learning Engineer,"Python Machine Learning Deep Learning Statistics"
Software Developer,"Java C++ Python Git"
Data Scientist,"Python Statistics Machine Learning Communication SQL"
Business Analyst,"Excel Communication Presentation Data Analysis"
Frontend Developer,"JavaScript HTML CSS React"
Backend Developer,"Node.js Python Django SQL APIs"
DevOps Engineer,"Docker Kubernetes Linux Python"
Cybersecurity Specialist,"Network Security Firewalls Python Linux"
Mobile App Developer,"Flutter Dart Kotlin Swift"
Cloud Solutions Architect,"AWS Azure Python DevOps Architecture"
AI Researcher,"Python Machine Learning Research TensorFlow NLP"
